Product Names,Product Prices
мега тери,"8,900 ₮"
мега бүлгүги,"9,900 ₮"
мега бийф,"8,900 ₮"
мега шримп,"9,900 ₮"
хаш бийф,"6,900 ₮"
чийз,"5,900 ₮"
хамбургер,"3,900 ₮"
чекин,"5,900 ₮"
тери,"4,900 ₮"
шримп,"5,900 ₮"
хот криспи,"6,900 ₮"
Бүлгүги,"5,900 ₮"
чихэрлэг соустай (хагас),"11,900 ₮"
чихэрлэг соустай (бүтэн),"24,500 ₮"
шарсан тахиа (1ш),"2,900 ₮"
шарсан тахиа(бүтэн),"24,500 ₮"
шарсан тахиа (Хагас),"11,900 ₮"
Шоколадтай зайрмаг,"2,000 ₮"
Гүзээлзгэнэтэй зайрмаг,"2,000 ₮"
Сүүтэй зайрмаг,"1,500 ₮"
ШАРСАН ТӨМС,"3,500 ₮"
ШРИМП КОТЛЕТ,"3,500 ₮"
СКУИД РИНГС,"3,500 ₮"
чийз стик,"3,500 ₮"
Lemon ice tea,"2,000 ₮"
Seabuckthorn,"2,000 ₮"
Tornado (Гүзээлзгэнэ),"3,000 ₮"
Tornado (Ногоон Цай),"3,000 ₮"
Mirinda,"1,000 ₮"
Mount Dew,"1,000 ₮"
7up,"1,000 ₮"
Pepsi,"1,000 ₮"
Бүлгүги бургер багц,8900 ₮
Бүлгүги бургер мега багц,11400 ₮
Хот Криспи бурер багц,9900 ₮
Хот Криспи бурер мега багц,12400 ₮
Шримп бургер багц,8900 ₮
Шримп бургер мега багц,11400 ₮
Тери бургер багц,7900 ₮
Тери бургер мега багц,10400 ₮
Чикен бургер багц,8900 ₮
Чикен бургер мега багц,11400 ₮
Хамбургер багц,6900 ₮
Хамбургер мега багц,9400 ₮
Чийз бургер багц,8900 ₮
Чийз бургер мега багц,11400 ₮
Хаш Бийф бургер багц,9900 ₮
Хаш Бийф бургер мега багц,12400 ₮
Мега Шримп багц,12900 ₮
Мега Шримп мега багц,15400 ₮
Мега Бийф багц,11900 ₮
Мега Бийф мега багц,14400 ₮
Мега Бүлгүги багц,12900 ₮
Мега Бүлгүги мега багц,15400 ₮
Мега Тери багц,11900 ₮
Мега Тери мега багц,14400 ₮
Couple Set,18900 ₮
Friends Set,36000 ₮
Family Set,49000 ₮
